Berita,Like,Provokasi,Komentar,Emosi,Hoax
B4073,17,63,55,50,?
B4074,40,97,61,63,?
B4075,12,42,78,55,?
B4076,34,93,51,62,?
B4077,32,44,47,63,?
B4078,16,75,71,59,?
B4079,12,30,63,65,?
B4080,34,42,48,71,?
B4081,19,60,67,57,?
B4082,16,20,51,60,?
B4083,12,60,54,54,?
B4084,30,46,58,67,?
B4085,15,38,40,69,?
B4086,40,61,63,72,?
B4087,39,76,48,67,?
B4088,16,57,68,56,?
B4089,18,38,60,67,?
B4090,38,88,52,79,?
B4091,36,53,45,70,?
B4092,11,36,44,66,?
B4093,32,40,58,70,?
B4094,37,83,53,65,?
B4095,18,26,56,73,?
B4096,38,48,70,67,?
B4097,17,36,56,76,?
B4098,18,37,61,78,?
B4099,11,22,40,77,?
B4100,12,59,60,73,?
B4101,11,39,56,45,?
B4102,36,58,78,61,?
B4103,31,88,52,62,?
B4104,12,34,66,67,?
B4105,13,60,57,45,?
B4106,17,27,47,44,?
B4107,36,49,49,62,?
B4108,18,55,66,61,?
B4109,20,50,75,44,?
B4110,40,41,52,69,?
B4111,17,74,72,60,?
B4112,16,56,47,77,?
B4113,19,23,56,54,?
B4114,10,46,59,59,?
B4115,13,58,54,49,?
B4116,19,22,73,57,?
B4117,15,35,59,77,?
B4118,33,61,44,79,?
B4119,16,23,59,78,?
B4120,36,88,66,73,?
B4121,20,49,40,57,?
B4122,11,50,50,60,?
B4123,35,64,59,72,?
B4124,31,32,76,80,?
B4125,18,30,78,51,?
B4126,32,48,80,79,?
B4127,17,34,72,75,?
B4128,12,35,81,46,?
B4129,17,31,79,43,?
B4130,33,41,56,71,?
B4131,15,29,71,58,?
B4132,32,52,43,74,?
B4133,18,74,69,80,?
B4134,38,92,41,78,?
B4135,39,100,52,70,?
B4136,40,69,72,77,?
B4137,15,25,49,43,?
B4138,32,55,71,70,?
B4139,39,53,62,78,?
B4140,15,66,70,66,?
B4141,11,41,60,50,?
B4142,38,32,76,70,?
B4143,38,57,72,73,?
B4144,18,24,60,67,?
B4145,38,49,42,80,?
B4146,10,71,42,49,?
B4147,18,28,52,72,?
B4148,32,49,67,69,?
B4149,17,20,65,80,?
B4150,11,21,74,50,?
B4151,19,32,49,45,?
B4152,14,59,61,44,?
B4153,17,48,79,62,?
B4154,18,28,75,46,?
B4155,32,93,70,62,?
B4156,37,70,45,63,?
B4157,32,90,55,68,?
B4158,11,24,65,47,?
B4159,34,75,48,80,?
B4160,16,62,55,53,?
B4161,17,67,67,43,?
B4162,10,66,65,40,?
B4163,18,80,78,61,?
B4164,18,68,68,30,?
B4165,10,71,41,49,?
B4166,17,34,73,55,?
B4167,12,40,70,65,?
B4168,35,74,47,78,?
B4169,31,62,80,71,?
B4170,20,70,49,56,?
B4171,14,49,73,48,?
B4172,32,62,63,78,?
B4173,11,32,57,79,?
B4174,33,60,47,67,?
B4175,32,51,56,72,?
B4176,19,20,77,67,?
B4177,12,76,41,62,?
B4178,38,40,55,66,?
B4179,28,45,63,64,?
B4180,17,43,55,79,?
B4181,11,39,65,57,?
B4182,39,80,55,64,?
B4183,20,79,80,61,?
B4184,16,75,44,46,?
B4185,18,27,65,78,?
B4186,36,44,67,65,?
B4187,17,53,41,45,?
B4188,40,36,57,79,?
B4189,17,60,41,74,?
B4190,34,35,63,60,?
B4191,35,66,75,68,?
B4192,12,75,62,54,?
B4193,10,46,57,45,?
B4194,30,74,67,73,?
B4195,36,49,67,70,?
B4196,29,85,52,82,?
B4197,39,82,49,79,?
B4198,17,44,75,66,?
B4199,11,66,45,60,?
B4200,20,72,61,69,?
B4201,39,60,55,76,?
B4202,31,44,50,62,?
B4203,10,74,44,58,?
B4204,37,71,80,64,?
B4205,17,24,71,65,?
B4206,33,35,71,63,?
B4207,38,55,46,80,?
B4208,30,97,73,74,?
B4209,16,34,69,75,?
B4210,10,59,50,80,?
B4211,35,62,42,79,?
B4212,12,60,79,77,?
B4213,16,43,57,76,?
B4214,38,86,51,60,?
B4215,18,42,51,40,?
B4216,18,53,56,49,?
B4217,40,31,62,78,?
B4218,39,81,55,75,?
B4219,17,71,42,45,?
B4220,36,53,57,77,?
B4221,12,73,50,67,?
B4222,31,76,45,79,?
B4223,37,56,51,71,?
B4224,11,63,59,75,?
B4225,15,72,45,45,?
B4226,15,53,61,62,?
B4227,18,50,42,40,?
B4228,18,38,49,58,?
B4229,17,36,50,47,?
B4230,12,43,64,79,?
B4231,20,45,51,53,?
B4232,14,72,80,64,?
B4233,31,64,48,77,?
B4234,17,62,50,42,?
B4235,40,98,43,72,?
B4236,11,38,69,47,?
B4237,13,48,49,56,?
B4238,16,42,44,72,?
B4239,17,51,69,77,?
B4240,15,26,78,80,?
B4241,31,46,72,67,?
B4242,15,35,68,43,?
B4243,14,21,73,48,?
B4244,36,35,57,70,?
B4245,14,50,57,47,?
B4246,13,31,47,41,?
B4247,19,32,57,80,?
B4248,34,92,59,63,?
B4249,33,67,48,78,?
B4250,37,45,75,74,?
B4251,17,39,56,50,?
B4252,34,51,80,60,?
B4253,20,29,54,59,?
B4254,13,43,71,79,?
B4255,19,61,73,79,?
B4256,15,49,61,47,?
B4257,12,36,47,75,?
B4258,10,65,42,52,?
B4259,15,77,79,62,?
B4260,13,59,46,72,?
B4261,37,33,51,68,?
B4262,20,28,60,49,?
B4263,13,24,62,70,?
B4264,35,81,77,69,?
B4265,30,27,50,44,?
B4266,26,46,81,48,?
B4267,33,53,46,78,?
B4268,20,46,51,66,?
B4269,35,50,43,74,?
B4270,31,32,59,74,?
B4271,39,86,68,77,?
B4272,37,94,68,74,?
B4273,38,47,74,72,?
B4274,11,39,80,58,?
B4275,10,55,54,59,?
B4276,40,34,52,80,?
B4277,31,94,78,76,?
B4278,34,51,67,67,?
B4279,39,73,48,78,?
B4280,12,51,46,77,?
B4281,23,49,66,50,?
B4282,34,39,45,70,?
B4283,32,91,44,73,?
B4284,39,79,59,76,?
B4285,40,47,71,79,?
B4286,19,59,60,57,?
B4287,34,42,69,62,?
B4288,16,24,76,59,?
B4289,10,25,73,67,?
B4290,38,65,73,67,?
B4291,31,89,42,77,?
B4292,12,40,45,41,?
B4293,37,85,56,73,?
B4294,14,32,75,62,?
B4295,14,49,80,58,?
B4296,31,95,49,69,?
B4297,30,88,79,75,?
B4298,10,37,50,51,?
B4299,13,67,72,62,?
B4300,11,78,74,68,?
B4301,17,59,79,65,?
B4302,17,32,70,56,?
B4303,14,48,75,42,?
B4304,31,35,59,74,?
B4305,13,21,72,62,?
B4306,17,45,79,77,?
B4307,36,83,67,80,?
B4308,39,89,74,60,?
B4309,16,25,50,78,?
B4310,20,47,48,46,?
B4311,38,88,64,65,?
B4312,34,97,77,63,?
B4313,32,30,44,62,?
B4314,36,39,53,74,?
B4315,40,66,48,65,?
B4316,17,80,56,57,?
B4317,36,76,74,67,?
B4318,36,86,56,75,?
B4319,38,97,65,69,?
B4320,17,66,53,59,?
B4321,33,48,63,64,?
B4322,37,96,79,63,?
B4323,16,35,63,43,?
B4324,32,74,64,74,?
B4325,14,76,65,70,?
B4326,10,66,48,43,?
B4327,32,35,72,76,?
B4328,13,30,78,53,?
B4329,15,72,51,68,?
B4330,13,26,63,72,?
B4331,16,49,48,66,?
B4332,16,46,65,65,?
B4333,17,40,65,74,?
B4334,19,36,65,57,?
B4335,35,90,76,78,?
B4336,34,35,43,67,?
B4337,12,72,60,76,?
B4338,37,57,60,75,?
B4339,18,50,76,47,?
B4340,34,79,55,64,?
B4341,15,59,52,51,?
B4342,37,86,79,69,?
B4343,32,54,69,70,?
B4344,35,51,51,65,?
B4345,11,43,77,51,?
B4346,19,23,67,52,?
B4347,37,33,42,61,?
B4348,12,32,67,67,?
B4349,35,79,58,77,?
B4350,13,70,71,45,?
B4351,13,61,63,68,?
B4352,11,53,77,71,?
B4353,36,31,41,66,?
B4354,10,36,50,71,?
B4355,34,93,48,67,?
B4356,17,79,59,46,?
B4357,14,43,48,75,?
B4358,36,56,68,68,?
B4359,34,44,76,76,?
B4360,30,43,69,72,?
B4361,40,100,78,65,?
B4362,18,62,79,70,?
B4363,40,61,52,63,?
B4364,20,73,50,52,?
B4365,18,50,70,63,?
B4366,19,45,49,48,?
B4367,40,98,78,71,?
B4368,10,35,68,66,?
B4369,14,42,75,50,?
B4370,40,79,43,80,?
B4371,20,34,59,80,?
B4372,19,68,71,53,?
B4373,30,70,73,67,?
B4374,38,84,61,65,?
B4375,37,45,57,63,?
B4376,18,79,78,60,?
B4377,19,42,44,49,?
B4378,14,64,76,75,?
B4379,35,85,75,66,?
B4380,11,37,79,33,?
B4381,18,27,77,76,?
B4382,35,99,71,63,?
B4383,39,50,61,76,?
B4384,33,30,74,62,?
B4385,14,69,57,65,?
B4386,11,29,69,69,?
B4387,37,64,59,75,?
B4388,32,61,69,73,?
B4389,39,31,64,63,?
B4390,36,78,59,79,?
B4391,19,59,70,54,?
B4392,14,57,63,65,?
B4393,33,95,76,65,?
B4394,18,75,64,63,?
B4395,34,48,64,67,?
B4396,10,65,51,46,?
B4397,40,31,79,63,?
B4398,14,49,45,73,?
B4399,35,62,61,61,?
B4400,12,32,55,61,?
B4401,19,23,59,45,?
B4402,18,56,67,44,?
B4403,33,84,45,72,?
B4404,40,98,54,80,?
B4405,11,52,64,64,?
B4406,17,77,67,74,?
B4407,34,84,63,67,?
B4408,10,33,76,74,?
B4409,11,24,54,48,?
B4410,36,96,64,73,?
B4411,19,63,76,57,?
B4412,37,45,74,65,?
B4413,30,34,80,78,?
B4414,34,59,50,69,?
B4415,14,26,41,62,?
B4416,35,82,47,78,?
B4417,12,29,52,66,?
B4418,14,33,44,60,?
B4419,38,57,56,63,?
B4420,20,54,74,71,?
B4421,30,78,43,60,?
B4422,17,61,80,51,?
B4423,31,85,74,73,?
B4424,35,51,49,68,?
B4425,37,54,48,71,?
B4426,16,52,66,54,?
B4427,11,34,49,46,?
B4428,36,83,43,62,?
B4429,15,67,74,69,?
B4430,40,41,42,76,?
B4431,18,27,61,49,?
B4432,12,21,48,52,?
B4433,16,37,45,63,?
B4434,12,40,49,48,?
B4435,39,78,68,79,?
B4436,40,63,73,74,?
B4437,13,37,53,61,?
B4438,34,44,62,60,?
B4439,15,42,77,66,?
B4440,16,24,42,61,?
B4441,36,82,76,65,?
B4442,19,68,46,41,?
B4443,13,61,72,44,?
B4444,17,70,64,45,?
B4445,18,80,48,55,?
B4446,32,36,50,75,?
B4447,30,47,73,75,?
B4448,10,74,66,72,?
B4449,17,32,47,46,?
B4450,34,52,45,78,?
B4451,32,61,54,64,?
B4452,18,36,63,51,?
B4453,30,39,79,70,?
B4454,19,77,49,43,?
B4455,13,64,70,67,?
B4456,36,75,70,80,?
B4457,17,46,42,62,?
B4458,19,42,43,61,?
B4459,33,71,80,64,?
B4460,10,75,47,61,?
B4461,39,65,59,77,?
B4462,33,68,74,74,?
B4463,21,39,76,37,?
B4464,19,43,67,69,?
B4465,34,85,51,66,?
B4466,39,66,59,69,?
B4467,13,58,41,51,?
B4468,40,47,51,69,?
B4469,37,39,74,79,?
B4470,16,58,58,77,?
B4471,19,30,40,46,?
B4472,36,100,56,64,?
B4473,38,46,43,80,?
B4474,19,50,79,61,?
B4475,35,70,56,73,?
B4476,15,80,77,57,?
B4477,36,47,78,68,?
B4478,10,78,68,44,?
B4479,20,37,68,47,?
B4480,18,32,74,67,?
B4481,13,42,58,61,?
B4482,38,30,61,73,?
B4483,36,60,45,69,?
B4484,35,87,64,73,?
B4485,36,99,65,78,?
B4486,12,52,47,72,?
B4487,17,49,43,49,?
B4488,10,75,58,68,?
B4489,35,30,48,71,?
B4490,32,66,41,60,?
B4491,20,44,76,60,?
B4492,14,65,74,65,?
B4493,10,76,66,65,?
B4494,36,32,53,60,?
B4495,30,61,43,68,?
B4496,11,52,63,46,?
B4497,33,56,80,74,?
B4498,35,42,52,60,?
B4499,10,73,44,54,?
B4500,30,60,63,73,?
B4501,37,90,61,60,?
B4502,20,58,69,46,?
B4503,20,54,70,62,?
B4504,38,77,66,63,?
B4505,33,69,55,70,?
B4506,20,50,55,56,?
B4507,34,46,59,70,?
B4508,37,40,75,71,?
B4509,17,45,44,40,?
B4510,33,92,55,65,?
B4511,15,21,74,51,?
B4512,14,36,44,61,?
B4513,20,21,76,73,?
B4514,15,42,44,42,?
B4515,33,73,64,69,?
B4516,20,78,66,55,?
B4517,37,84,75,65,?
B4518,30,76,41,72,?
B4519,38,96,68,78,?
B4520,12,28,46,59,?
B4521,37,88,65,63,?
B4522,31,54,74,76,?
B4523,34,55,51,75,?
B4524,10,29,49,55,?
B4525,31,70,60,74,?
B4526,33,40,52,80,?
B4527,37,89,51,73,?
B4528,10,40,78,54,?
B4529,37,64,46,61,?
B4530,31,99,61,75,?
B4531,34,97,56,71,?
B4532,11,70,46,74,?
B4533,33,80,53,80,?
B4534,10,63,65,47,?
B4535,20,61,49,53,?
B4536,12,25,50,56,?
B4537,37,93,69,70,?
B4538,35,97,54,65,?
B4539,32,84,66,68,?
B4540,17,60,47,41,?
B4541,17,65,76,58,?
B4542,31,56,46,75,?
B4543,20,44,65,56,?
B4544,15,47,58,47,?
B4545,18,30,78,79,?
B4546,10,23,41,80,?
B4547,37,62,52,62,?
B4548,38,42,50,60,?
B4549,32,30,71,79,?
B4550,16,22,76,66,?
B4551,15,52,77,74,?
B4552,14,44,69,67,?
B4553,33,68,41,65,?
B4554,36,67,75,80,?
B4555,40,33,53,74,?
B4556,19,68,49,43,?
B4557,32,89,53,73,?
B4558,14,71,40,50,?
B4559,32,50,61,76,?
B4560,18,29,52,60,?
B4561,19,23,47,59,?
B4562,33,84,64,80,?
B4563,40,87,72,72,?
B4564,34,42,79,64,?
B4565,30,62,68,73,?
B4566,30,66,72,62,?
B4567,30,47,41,72,?
B4568,40,39,46,66,?
B4569,15,33,68,43,?
B4570,38,92,41,60,?
B4571,11,27,57,64,?
B4572,37,90,51,61,?
B4573,19,55,50,72,?
B4574,16,75,53,73,?
B4575,32,58,66,71,?
B4576,33,37,63,79,?
B4577,34,42,64,72,?
B4578,35,83,43,80,?
B4579,13,57,43,71,?
B4580,40,42,58,69,?
B4581,33,85,66,69,?
B4582,12,79,69,76,?
B4583,17,20,71,70,?
B4584,15,72,66,45,?
B4585,11,71,80,49,?
B4586,38,66,61,73,?
B4587,10,74,58,52,?
B4588,19,40,78,59,?
B4589,14,79,46,40,?
B4590,16,65,80,78,?
B4591,38,75,41,76,?
B4592,11,40,58,45,?
B4593,15,41,56,69,?
B4594,17,58,53,72,?
B4595,17,45,74,53,?
B4596,14,50,47,77,?
B4597,33,34,80,74,?
B4598,39,86,65,80,?
B4599,14,48,41,78,?
B4600,16,24,43,68,?
B4601,37,65,50,72,?
B4602,15,45,52,79,?
B4603,14,41,51,41,?
B4604,40,66,80,72,?
B4605,37,66,67,64,?
B4606,39,61,48,66,?
B4607,18,48,64,60,?
B4608,40,52,71,64,?
B4609,39,43,61,67,?
B4610,12,31,68,68,?
B4611,12,67,71,52,?
B4612,30,88,73,71,?
B4613,11,73,78,74,?
B4614,11,53,58,54,?
B4615,12,23,41,50,?
B4616,38,85,53,67,?
B4617,33,92,60,62,?
B4618,11,53,68,49,?
B4619,18,71,71,49,?
B4620,35,32,47,64,?
B4621,34,64,48,77,?
B4622,35,30,58,74,?
B4623,11,44,58,40,?
B4624,14,52,73,77,?
B4625,32,84,65,80,?
B4626,35,74,70,63,?
B4627,34,71,74,60,?
B4628,30,33,72,73,?
B4629,38,97,40,75,?
B4630,14,55,62,56,?
B4631,15,50,66,53,?
B4632,30,86,46,76,?
B4633,14,47,54,55,?
B4634,13,65,66,77,?
B4635,20,24,63,46,?
B4636,39,98,75,76,?
B4637,35,65,66,68,?
B4638,13,40,47,43,?
B4639,18,56,76,61,?
B4640,40,96,64,71,?
B4641,37,58,67,65,?
B4642,20,69,62,77,?
B4643,38,77,68,69,?
B4644,35,92,54,70,?
B4645,17,60,71,45,?
B4646,20,24,58,67,?
B4647,35,40,58,79,?
B4648,11,69,74,54,?
B4649,36,96,66,69,?
B4650,16,57,65,59,?
B4651,31,77,61,60,?
B4652,33,42,65,60,?
B4653,33,57,44,72,?
B4654,35,76,64,68,?
B4655,38,49,58,61,?
B4656,33,74,57,63,?
B4657,20,34,41,67,?
B4658,17,24,54,69,?
B4659,13,55,73,41,?
B4660,30,100,44,61,?
B4661,15,74,59,44,?
B4662,15,71,56,59,?
B4663,37,80,53,77,?
B4664,15,55,56,41,?
B4665,30,76,64,77,?
B4666,39,63,78,61,?
B4667,29,34,51,42,?
B4668,19,62,75,42,?
B4669,33,62,54,63,?
B4670,10,47,59,76,?
B4671,20,60,73,41,?
B4672,38,69,55,67,?
B4673,31,60,80,80,?
B4674,18,72,61,47,?
B4675,20,50,69,42,?
B4676,18,44,66,53,?
B4677,37,47,64,62,?
B4678,31,100,76,80,?
B4679,20,29,62,54,?
B4680,17,63,63,53,?
B4681,12,79,45,41,?
B4682,14,43,57,53,?
B4683,16,60,56,73,?
B4684,39,77,62,65,?
B4685,14,71,55,43,?
B4686,35,69,72,62,?
B4687,37,67,52,71,?
B4688,13,31,41,40,?
B4689,33,44,69,60,?
B4690,13,33,44,46,?
B4691,18,57,54,45,?
B4692,31,30,45,60,?
B4693,32,57,78,63,?
B4694,32,82,65,62,?
B4695,30,86,69,70,?
B4696,36,68,58,73,?
B4697,35,50,51,80,?
B4698,37,85,73,75,?
B4699,13,70,65,43,?
B4700,12,29,40,53,?
B4701,37,31,65,63,?
B4702,18,69,48,71,?
B4703,13,37,71,51,?
B4704,12,69,73,74,?
B4705,38,60,46,80,?
B4706,35,90,53,71,?
B4707,12,42,78,50,?
B4708,33,55,60,61,?
B4709,37,44,64,61,?
B4710,11,50,60,55,?
B4711,37,31,71,67,?
B4712,15,41,46,75,?
B4713,11,44,66,63,?
B4714,35,68,49,80,?
B4715,10,38,49,65,?
B4716,31,44,76,61,?
B4717,32,53,51,80,?
B4718,33,65,48,80,?
B4719,19,77,43,71,?
B4720,12,38,48,64,?
B4721,30,57,40,62,?
B4722,17,31,61,79,?
B4723,36,48,70,79,?
B4724,18,51,68,54,?
B4725,26,36,62,66,?
B4726,34,36,77,66,?
B4727,32,68,48,77,?
B4728,20,80,41,44,?
B4729,30,98,67,72,?
B4730,33,65,61,62,?
B4731,12,25,61,55,?
B4732,12,47,48,59,?
B4733,32,60,42,72,?
B4734,30,30,50,66,?
B4735,18,62,68,79,?
B4736,20,61,69,72,?
B4737,39,88,73,63,?
B4738,13,43,62,65,?
B4739,31,31,57,66,?
B4740,20,79,70,67,?
B4741,37,80,51,69,?
B4742,30,79,73,69,?
B4743,15,39,76,46,?
B4744,18,43,44,75,?
B4745,10,74,51,70,?
B4746,39,42,61,74,?
B4747,35,51,73,70,?
B4748,37,73,42,76,?
B4749,20,25,46,58,?
B4750,31,56,57,69,?
B4751,38,47,71,62,?
B4752,35,40,68,72,?
B4753,36,44,69,69,?
B4754,37,71,62,73,?
B4755,32,46,46,79,?
B4756,19,63,71,78,?
B4757,14,23,46,53,?
B4758,16,53,66,57,?
B4759,14,70,80,63,?
B4760,35,84,73,79,?
B4761,15,45,42,40,?
B4762,34,52,79,73,?
B4763,20,48,80,60,?
B4764,18,67,51,48,?
B4765,40,93,54,61,?
B4766,36,87,56,61,?
B4767,15,34,58,53,?
B4768,30,64,60,69,?
B4769,18,50,51,74,?
B4770,36,85,57,68,?
B4771,11,50,45,71,?
B4772,15,56,54,72,?
B4773,31,82,58,66,?
B4774,37,41,70,70,?
B4775,11,37,40,61,?
B4776,36,53,57,74,?
B4777,40,96,55,67,?
B4778,39,64,57,60,?
B4779,30,95,50,79,?
B4780,11,20,58,46,?
B4781,39,91,74,62,?
B4782,17,47,57,59,?
B4783,35,47,55,65,?
B4784,17,74,64,76,?
B4785,38,48,62,63,?
B4786,37,64,77,79,?
B4787,37,41,74,75,?
B4788,38,85,54,66,?
B4789,12,27,76,59,?
B4790,36,45,52,76,?
B4791,35,51,80,63,?
B4792,38,43,56,60,?
B4793,30,36,63,67,?
B4794,31,41,47,67,?
B4795,10,78,74,45,?
B4796,30,84,62,67,?
B4797,19,23,76,56,?
B4798,36,95,50,73,?
B4799,20,68,68,53,?
B4800,15,78,74,51,?
B4801,30,37,55,64,?
B4802,16,43,53,62,?
B4803,33,49,68,64,?
B4804,33,67,51,73,?
B4805,15,48,62,41,?
B4806,19,49,51,48,?
B4807,26,60,90,66,?
B4808,14,77,76,47,?
B4809,33,69,56,70,?
B4810,37,48,71,79,?
B4811,38,82,52,69,?
B4812,16,76,56,80,?
B4813,19,42,64,57,?
B4814,12,48,41,76,?
B4815,38,32,44,65,?
B4816,14,55,45,72,?
B4817,14,58,70,69,?
B4818,37,93,64,64,?
B4819,17,21,52,61,?
B4820,32,85,63,80,?
B4821,30,97,78,72,?
B4822,35,91,59,79,?
B4823,17,23,64,43,?
B4824,37,31,77,61,?
B4825,36,92,47,80,?
B4826,19,72,58,76,?
B4827,37,70,42,70,?
B4828,12,68,61,71,?
B4829,37,80,79,79,?
B4830,39,49,56,74,?
B4831,10,29,48,69,?
B4832,30,95,77,69,?
B4833,11,47,61,67,?
B4834,40,74,74,78,?
B4835,36,53,59,74,?
B4836,10,30,41,49,?
B4837,10,67,75,51,?
B4838,16,24,72,70,?
B4839,19,38,77,80,?
B4840,34,91,73,60,?
B4841,13,44,41,77,?
B4842,15,62,52,60,?
B4843,34,39,64,78,?
B4844,30,54,77,65,?
B4845,39,38,59,69,?
B4846,18,30,47,60,?
B4847,16,28,67,54,?
B4848,34,75,44,78,?
B4849,39,61,79,79,?
B4850,34,98,70,78,?
B4851,16,44,44,48,?
B4852,40,32,54,70,?
B4853,36,60,73,80,?
B4854,16,55,77,74,?
B4855,34,30,59,60,?
B4856,16,49,67,52,?
B4857,35,73,68,79,?
B4858,18,32,49,80,?
B4859,24,21,83,65,?
B4860,34,59,43,68,?
B4861,15,30,42,46,?
B4862,33,48,53,67,?
B4863,19,66,64,77,?
B4864,34,92,44,63,?
B4865,13,47,41,80,?
B4866,11,47,71,62,?
B4867,19,66,54,52,?
B4868,13,31,61,42,?
B4869,36,86,57,75,?
B4870,13,32,40,69,?
B4871,38,75,64,80,?
B4872,16,52,75,75,?
B4873,11,59,57,67,?
B4874,37,71,77,63,?
B4875,16,70,46,50,?
B4876,12,58,77,62,?
B4877,19,58,72,74,?
B4878,34,95,59,65,?
B4879,37,31,49,73,?
B4880,19,30,46,73,?
B4881,34,84,77,77,?
B4882,13,39,50,54,?
B4883,11,47,47,74,?
B4884,17,72,60,65,?
B4885,11,39,72,51,?
B4886,17,78,80,49,?
B4887,16,77,80,60,?
B4888,17,49,75,48,?
B4889,20,41,56,42,?
B4890,13,23,72,41,?
B4891,35,47,52,71,?
B4892,15,54,80,46,?
B4893,33,76,70,71,?
B4894,10,32,61,67,?
B4895,37,98,80,75,?
B4896,30,78,68,74,?
B4897,36,52,76,79,?
B4898,10,69,56,63,?
B4899,33,73,62,77,?
B4900,13,48,63,74,?
B4901,34,74,77,63,?
B4902,10,43,76,57,?
B4903,16,72,80,69,?
B4904,12,31,76,76,?
B4905,12,79,44,78,?
B4906,15,37,72,48,?
B4907,19,38,53,76,?
B4908,16,61,54,47,?
B4909,37,31,77,72,?
B4910,35,83,56,66,?
B4911,36,48,41,79,?
B4912,38,93,74,67,?
B4913,38,81,65,66,?
B4914,37,31,58,64,?
B4915,30,37,57,72,?
B4916,31,89,46,78,?
B4917,10,72,78,64,?
B4918,20,51,43,61,?
B4919,16,40,70,74,?
B4920,12,60,54,60,?
B4921,30,78,61,64,?
B4922,11,64,64,75,?
B4923,33,32,74,77,?
B4924,34,43,69,69,?
B4925,34,100,44,80,?
B4926,33,91,79,79,?
B4927,32,84,70,68,?
B4928,14,65,41,68,?
B4929,10,39,59,80,?
B4930,30,76,46,66,?
B4931,36,65,66,67,?
B4932,18,78,58,57,?
B4933,30,49,71,69,?
B4934,15,44,41,69,?
B4935,31,61,76,62,?
B4936,13,23,78,63,?
B4937,39,93,47,75,?
B4938,11,79,71,71,?
B4939,32,79,55,60,?
B4940,11,34,74,44,?
B4941,15,22,63,41,?
B4942,39,50,47,73,?
B4943,35,31,64,63,?
B4944,37,32,66,72,?
B4945,39,90,56,72,?
B4946,13,35,42,46,?
B4947,18,25,63,56,?
B4948,30,98,42,64,?
B4949,34,81,62,61,?
B4950,36,87,58,78,?
B4951,13,74,68,51,?
B4952,37,91,69,68,?
B4953,10,42,69,67,?
B4954,16,66,77,78,?
B4955,34,80,79,65,?
B4956,10,30,70,51,?
B4957,14,50,55,80,?
B4958,15,25,78,58,?
B4959,17,39,51,73,?
B4960,31,60,67,76,?
B4961,11,48,76,43,?
B4962,37,95,66,71,?
B4963,37,47,48,79,?
B4964,35,32,76,71,?
B4965,13,63,44,54,?
B4966,11,32,62,77,?
B4967,32,94,42,73,?
B4968,13,42,58,77,?
B4969,10,68,41,70,?
B4970,27,64,65,37,?
B4971,17,22,51,65,?
B4972,37,71,78,65,?
B4973,18,29,67,70,?
B4974,17,65,52,60,?
B4975,10,57,59,79,?
B4976,13,74,47,44,?
B4977,12,70,72,75,?
B4978,38,88,66,70,?
B4979,36,66,66,61,?
B4980,19,56,73,48,?
B4981,14,79,72,52,?
B4982,30,43,72,73,?
B4983,32,36,68,76,?
B4984,10,49,65,64,?
B4985,36,32,46,74,?
B4986,37,53,65,67,?
B4987,19,41,44,42,?
B4988,16,29,79,55,?
B4989,13,35,71,60,?
B4990,11,29,74,56,?
B4991,30,39,47,72,?
B4992,38,47,58,72,?
B4993,39,49,52,64,?
B4994,36,76,40,68,?
B4995,16,42,72,47,?
B4996,33,63,68,72,?
